property_id,account_number,name,address1,city,state_prov,postal_code,primary_contact_id
26,21739-0,Littleton Garage Door Service,6669 S Scottwood CT,Snoqualamish,WA,98215,no data
23,8767-000,Seniors in Community Living Inc,9095 S Greyson Dr,Snoqualamish,WA,98215,10000085
45,22096-000,Rainbow Rebuilders,6694 S Abbotsford Way,Snoqualamish,WA,98215,10000077
68,22782-000,Storewise Software Inc,5038 Somerset Rd,Snoqualamish,WA,98215,no data
69,22782-000,Lakewood Family Medical Clinic Pc,7846 Champions CT,Snoqualamish,WA,98215,10000109
82,5081-000,Polymedica Industries Inc,2672 N Hornsea Dr,Snoqualamish,WA,98215,10000086
90,5644-000,Sheridan Sanitation District #2,7022 N Ryan Meadow Pl,Snoqualamish,WA,98215,no data
97,5684-000,Peck Doran P C,1556 N Inverness St,Snoqualamish,WA,98215,10000092
138,6669-000,T-M Service CO,1328 S Dogwood Ln,Snoqualamish,WA,98215,10000087
150,7280-000,Mex Imports,6471 S Chant CT,Snoqualamish,WA,98215,10000116
151,7281-000,Tafoya Electric,1795 S Church View CT,Snoqualamish,WA,98215,10000088
219,8070-000,Taylors Liquors,445 S Perkins Ln,Snoqualamish,WA,98215,10000091
221,22403-000,North Star Liquor,7698 E Hunters Bnd,Snoqualamish,WA,98215,10000079
224,8087-000,LA Salle Partners,5622 E Sterling Glen Dr,Snoqualamish,WA,98215,10000117
246,8403-000,Screenplay Video Centers,7805 S Archer Ln,Snoqualamish,WA,98215,10000118
248,8415-000,Willie's Place,8488 S Strathmoore Rd,Snoqualamish,WA,98215,10000119
249,8430-000,Malecall II,9044 S Kelsey CT,Snoqualamish,WA,98215,10000120
255,8561-000,World Computer Corporation,7816 S Yankee St,Snoqualamish,WA,98215,10000121
274,8795-000,Specialty Systems,785 S Wallsend CT,Snoqualamish,WA,98215,10000089
294,9094-000,Mercer William M Incorporated,5707 S Chatham Dr,Snoqualamish,WA,98215,10000122
295,9122-000,Sears J L &#38; Associates Real Estate,7323 S Fairway Rd,Snoqualamish,WA,98215,10000102
296,9122-000,Lamar Ventures,2941 S Adara Dr,Snoqualamish,WA,98215,10000123
299,9125-000,Midwest Sales CO,4557 S Frank St,Snoqualamish,WA,98215,10000124
309,9315-000,A Flag House,1583 W Kim Rd,Snoqualamish,WA,98215,10000132
339,9897-000,Riley Income Tax Service,1710 W Liberty Rd,Snoqualamish,WA,98215,10000125
343,9981-000,Redding Equipment CO,2230 S Vinmar Way,Snoqualamish,WA,98215,10000126
347,no data,Resolution Trust Corp,1905 S Hillyer Ave,Snoqualamish,WA,98215,10000127
364,10443-000,Rains-Flo Packings,5102 E Clark-Shaw Rd,Snoqualamish,WA,98215,10000128
374,10672-000,Weber Management Company,6679 S Cross Creek CT,Snoqualamish,WA,98215,10000080
377,10849-000,Mr Smith's Restaurant,4370 S Robin Hood Ln,Snoqualamish,WA,98215,10000103
388,11398-000,Academy T V Service,7704 E Quarter Way,Snoqualamish,WA,98215,10000110
398,11476-000,Pacific Jewelry &#38; Loan CO,2566 S Main Rd,Snoqualamish,WA,98215,10000129
418,11682-000,Mattress Factory The,6732 S Olde Dublin Woods Dr,Snoqualamish,WA,98215,10000130
439,11884-000,Labriola Machine,1577 S Meadow Ash Dr,Snoqualamish,WA,98215,no data
450,11993-000,World Wide Funding,197 W Maxwell Ave,Snoqualamish,WA,98215,10000090
461,12105-000,Ollie's Roundup,9451 S Banbridge Ln,Snoqualamish,WA,98215,no data
494,12725-000,Lingerie Etc,1760 S Cuyuga Dr,Snoqualamish,WA,98215,no data
495,12762-000,Southwest Radiographics,9458 S Rolling Ridge Way,Snoqualamish,WA,98215,no data
502,12907-000,Mile High Lounge,7002 S Village Green Dr,Snoqualamish,WA,98215,10000097
511,13070-000,Omelet House Restaurant,709 W Wallace Dr,Snoqualamish,WA,98215,10000098
513,13079-000,Wej Management Corp,4424 S Red Barn St,Snoqualamish,WA,98215,10000093
522,24264-000,Metro Dishwasher,3557 W Lawton St,Snoqualamish,WA,98215,no data
529,13335-000,Advantage Brokers,5120 S Webb St,Snoqualamish,WA,98215,no data
547,14394-000,Boulder Mtn Overcharge Claim Audit,7930 S Mays Ln,Snoqualamish,WA,98215,10000081
629,16462-000,R L Plimpton Assoc Inc,7480 N Lakehurst CT,Snoqualamish,WA,98215,10000107
651,16625-000,29th Ave Liquor,4880 N Beech Ridge Dr,Snoqualamish,WA,98215,10000075
657,23592-000,Park Mayfair Home Owners Assoc,6931 W Meadow Bend Dr,Snoqualamish,WA,98215,10000099
661,16745-000,So Fine Limousine Service,3947 W Greenlawn Dr,Snoqualamish,WA,98215,10000082
662,16748-000,Sloan Paul &#38; Charlene Sloan,4903 W Federal Cir,Snoqualamish,WA,98215,10000094
665,16755-000,Opus One Designs,3166 S Guard-Well St,Snoqualamish,WA,98215,no data
685,16891-000,A &#38; B Forest Fresh CO,4415 N Ferguson Ave,Snoqualamish,WA,98215,no data
692,16989-000,Steele Elementary School,6916 W Crooked Elm CT,Snoqualamish,WA,98215,no data
702,17063-000,Maria Elena's Mexican Restaurant,5026 S Library Rd,Snoqualamish,WA,98215,no data
724,17352-000,New Again Auto Re-Con Systems,881 S Fawn Meadow CT,Snoqualamish,WA,98215,no data
757,17637-000,Little Ceasars Pizza,122 Taylor DR,Fairfax,CA,94930,10000083
762,21643-000,Splash of Color,464 S Kodiak CT,Snoqualamish,WA,98215,no data
769,17776-000,National Lender Services Inc,5450 N Grace CT,Snoqualamish,WA,98215,10000084
788,18079-000,Steward Painting &#38; Restoration,3727 W Carter's Corner Rd,Snoqualamish,WA,98215,10000095
798,18166-000,Toys-R-Us,515 W Vinson Dr,Snoqualamish,WA,98215,no data
824,18362-000,Quality Surface of Metro Snoqualamish,7359 W Seay CT,Snoqualamish,WA,98215,no data
835,19182-000,Real Property Valuations Inc,9089 S Linksway Dr,Snoqualamish,WA,98215,no data
838,19545-000,Mann Robert Oriental,1637 W Ketterington Ln,Snoqualamish,WA,98215,10000100
839,19728-000,Xelco Collection Service,4535 Willow Park CT,Snoqualamish,WA,98215,10000104
845,19897-000,Lanyon Sprinkler CO,4709 N Prairie Run Dr,Snoqualamish,WA,98215,10000096
861,20089-000,A-Quest Electronics,5289 W Preston Mill CT,Snoqualamish,WA,98215,no data
100016,no data,Academy Veterinary Hospital,8350 Lighthouse CT,Snoqualiamish,WA,98215,10000105
100045,no data,Bethesda At St Anthony Hospital North,1802 Woodcreek Pl,Snoqualiamish,WA,98215,10000101
100062,no data,Children's Hospital,1552 Naples National CT,Snoqualiamish,WA,98215,10000076
100087,no data,U S Hospitality Consultant,2714 Woodsfield CT,Snoqualiamish,WA,98215,no data
100092,no data,Echosphere Corporation,7210 West View Dr,Snoqualiamish,WA,98215,no data
100122,no data,Hospital Shared Services Warehouse,5998 Buena Park Dr,Snoqualiamish,WA,98215,10000078
100127,no data,Hospitality Flowers &#38; Gifts,6725 Sheridan St,Snoqualiamish,WA,98215,no data
100129,no data,Hospitality Group Inc The,429 Cali Glen Ln,Snoqualiamish,WA,98215,no data
100414,no data,Willie,12212,no data,no data,no data,10000133
100412,no data,Bill's Balloon Bonanza,1111 Helium Way,San Rafael,CA,94901,10000112
100410,no data,Greg's House of Pancakes,1435 N El Monte BLVD,Snoqualamish,Wa,98215,10000108
